389,67,Specialty Bike Shop,Sixth Bike Store,42,Mountain,1500000,150000
519,35,Specialty Bike Shop,List Price Catalog Company,35,Touring,1500000,150000
126,517,Specialty Bike Shop,Famous Bike Sales and Service,25,Road,1000000,100000
261,401,Value Added Reseller,Functional Store North,12,Mountain,800000,80000
10,44,Value Added Reseller,Rural Cycle Emporium,11,Mountain,800000,80000
204,374,Specialty Bike Shop,Traction Tire Company,31,Mountain,1500000,150000
56,547,Specialty Bike Shop,Latest Accessories Sales,44,Road,1500000,150000
97,344,Value Added Reseller,Mountain Bike Center,18,Road,800000,80000
84,78,Warehouse,Rewarding Activities Company,93,Road,3000000,300000
692,550,Specialty Bike Shop,Successful Sales Company,46,Road,1500000,150000
222,386,Value Added Reseller,Sample Bike Store,5,Road,300000,30000
480,84,Specialty Bike Shop,General Bike Corporation,48,Road,1500000,150000
335,82,Specialty Bike Shop,Scratch-Resistant Finishes Company,16,Mountain,800000,80000
591,35,Value Added Reseller,Fitness Discount Store,11,Touring,800000,80000
438,509,Specialty Bike Shop,Remarkable Bike Store,10,Road,800000,80000
66,48,Warehouse,Neighborhood Store,87,Road,3000000,300000
522,514,Specialty Bike Shop,Small Bike Accessories Shop,34,Touring,1500000,150000
213,38,Specialty Bike Shop,Fast Bike Works,28,Touring,1000000,100000
241,304,Specialty Bike Shop,Vale Riding Supplies,31,Touring,1500000,150000
148,431,Warehouse,Lots of Bikes Storehouse,76,Mountain,3000000,300000
600,346,Value Added Reseller,Strenuous Exercise Shop,8,Mountain,300000,30000
173,68,Value Added Reseller,Sundry Sporting Goods,5,Road,300000,30000
312,313,Value Added Reseller,Resale Services,16,Mountain,800000,80000
509,291,Value Added Reseller,Fun Toys and Bikes,2,Touring,300000,30000
544,484,Warehouse,Valley Bicycle Specialists,66,Mountain,3000000,300000
699,496,Warehouse,Sensational Discount Store,80,Road,3000000,300000
113,321,Value Added Reseller,Trendy Department Stores,5,Touring,300000,30000
187,306,Warehouse,Trailblazing Sports,91,Mountain,3000000,300000
489,575,Specialty Bike Shop,Cash & Carry Bikes,45,Mountain,1500000,150000
378,534,Warehouse,Grown-up Bike Store,82,Mountain,3000000,300000
238,483,Specialty Bike Shop,A Great Bicycle Company,28,Road,1000000,100000
518,125,Value Added Reseller,Regional Cycle Shop,8,Road,300000,30000
385,324,Value Added Reseller,Sturdy Toys,7,Mountain,300000,30000
562,480,Specialty Bike Shop,Practical Bike Supply Company,25,Mountain,1000000,100000
700,494,Value Added Reseller,Underglaze and Finish Company,11,Road,800000,80000
62,569,Specialty Bike Shop,Manufacturers Inc,42,Road,1500000,150000
422,558,Specialty Bike Shop,Consolidated Sales,31,Mountain,1500000,150000
654,74,Value Added Reseller,Online Bike Warehouse,17,Road,800000,80000
195,12,Specialty Bike Shop,Inexpensive Parts Shop,34,Mountain,1500000,150000
416,643,Specialty Bike Shop,Impromptu Trips,33,Mountain,1500000,150000
17,605,Specialty Bike Shop,Trusted Catalog Store,25,Mountain,1000000,100000
100,81,Value Added Reseller,Up-To-Date Sports,20,Mountain,1000000,100000
624,289,Value Added Reseller,First Cycle Store,6,Road,300000,30000
583,290,Specialty Bike Shop,Professional Containers and Packaging Co.,46,Mountain,1500000,150000
682,10,Value Added Reseller,Popular Bike Lines,17,Touring,800000,80000
347,378,Specialty Bike Shop,Bike Universe,28,Mountain,1000000,100000
93,590,Warehouse,Stationary Bikes and Stands,96,Road,3000000,300000
633,116,Value Added Reseller,Rustic Bike Store,12,Touring,800000,80000
354,41,Warehouse,Serious Cycles,64,Mountain,3000000,300000
590,173,Warehouse,Lustrous Paints and Components,80,Road,3000000,300000
387,282,Warehouse,Racing Association,85,Road,3000000,300000
40,587,Value Added Reseller,Journey Sporting Goods,13,Mountain,800000,80000
536,165,Value Added Reseller,Next Door Cycles,20,Touring,1000000,100000
186,507,Specialty Bike Shop,Thrilling Bike Tours,37,Touring,1500000,150000
646,487,Specialty Bike Shop,Yellow Bicycle Company,29,Mountain,1000000,100000
448,276,Warehouse,Action Bicycle Specialists,49,Touring,1500000,150000
512,569,Value Added Reseller,Tiny Bike Boutique,4,Road,300000,30000
271,645,Specialty Bike Shop,Alternative Vehicles,45,Road,1500000,150000
157,204,Warehouse,Ace Bicycle Supply,81,Mountain,3000000,300000
237,432,Value Added Reseller,Client Discount Store,20,Mountain,1000000,100000
202,589,Warehouse,Two-Seater Bikes,96,Touring,3000000,300000
565,381,Specialty Bike Shop,Metallic Paint and Overcoat Co,28,Road,1000000,100000
177,24,Specialty Bike Shop,Plastic Products Manufacturers,40,Touring,1500000,150000
229,215,Specialty Bike Shop,Instant Cycle Store,19,Road,800000,80000
259,371,Specialty Bike Shop,Highway Bike Shop,49,Road,1500000,150000
37,633,Value Added Reseller,Two Bike Shops,14,Road,800000,80000
525,419,Specialty Bike Shop,Cycles and Scooters,33,Road,1500000,150000
573,14,Value Added Reseller,Nationwide Supply,17,Touring,800000,80000
214,242,Warehouse,Exclusive Bicycle Mart,100,Road,3000000,300000
31,201,Value Added Reseller,Wheels Inc.,16,Road,800000,80000
627,497,Value Added Reseller,Exchange Parts Inc.,8,Touring,300000,30000
212,134,Value Added Reseller,Enterprise Center,19,Touring,800000,80000
407,106,Specialty Bike Shop,Workout Emporium,36,Touring,1500000,150000
684,396,Warehouse,Lease-a-Bike Shop,67,Road,3000000,300000
466,258,Warehouse,Central Bicycle Specialists,67,Touring,3000000,300000
79,388,Value Added Reseller,Reasonable Bicycle Sales,6,Road,300000,30000
566,489,Warehouse,eCommerce Bikes,58,Mountain,3000000,300000
486,453,Specialty Bike Shop,Convenient Bike Shop,46,Road,1500000,150000
637,93,Specialty Bike Shop,Reliable Retail Center,32,Road,1500000,150000
659,248,Specialty Bike Shop,Shipping Specialists,13,Road,800000,80000
341,515,Specialty Bike Shop,Independent Outlet,22,Road,1000000,100000
71,394,Specialty Bike Shop,Outdoor Distributors,39,Mountain,1500000,150000
266,119,Warehouse,Excellent Bikes,81,Touring,3000000,300000
265,202,Specialty Bike Shop,Full Sports Supply,47,Mountain,1500000,150000
372,80,Warehouse,Top Bike Market,80,Touring,3000000,300000
482,115,Value Added Reseller,"Fabrikam Inc., East",11,Road,800000,80000
597,582,Value Added Reseller,All Seasons Sports Supply,9,Touring,300000,30000
490,588,Warehouse,Extraordinary Bike Works,83,Mountain,3000000,300000
360,470,Warehouse,Novelty Bikes,70,Touring,3000000,300000
616,8,Specialty Bike Shop,Eastward Bike Accessories,39,Touring,1500000,150000
653,93,Warehouse,Mercantile Outlet,66,Mountain,3000000,300000
384,365,Warehouse,Sparkling Paint and Finishes,84,Mountain,3000000,300000
